estimate_id,cancer_code,regimen,role,drug,trial_name,trial_alias,trial_nct,ref,source_locator,source_locator_status,source_endpoint_label,source_population_label,setting,source_n,metric,value,value_status,unit,ci_low,ci_low_status,ci_high,ci_high_status,ci_basis,timepoint,metric_n,responders,note,source_verified,value_basis
ICI-9bfcbfbb51-01,SGC,PD-1,primary,pembrolizumab,KEYNOTE-158,MK-3475-158,NCT02628067,PMID:35777186,,not_extracted,,,previously treated advanced salivary gland carcinoma (pan-salivary source-scope estimate),109,CRR,0.9,numeric,percent,,not_extracted,,not_extracted,not_extracted,,109,1,1 complete response of 109; pan-salivary source-scope estimate; verified,True,reported
ICI-071eb5e3c9-01,SGC,PD-1,alternate,pembrolizumab,KEYNOTE-158,MK-3475-158,NCT02628067,PMID:35777186,,not_extracted,,,previously treated advanced salivary gland carcinoma (pan-salivary source-scope estimate),109,ORR,10.7,numeric,percent,2.3,numeric,28.2,numeric,reported,,,,PD-L1-positive subgroup; pan-salivary; verified,True,reported
ICI-ace3bf531f-01,SGC,PD-1,alternate,pembrolizumab,KEYNOTE-158,MK-3475-158,NCT02628067,PMID:35777186,,not_extracted,,,previously treated advanced salivary gland carcinoma (pan-salivary source-scope estimate),109,ORR,2.6,numeric,percent,0.3,numeric,9.1,numeric,reported,,,,PD-L1-negative subgroup; pan-salivary; verified,True,reported
ICI-7c006ed354-01,SGC,PD-1,primary,pembrolizumab,KEYNOTE-158,MK-3475-158,NCT02628067,PMID:35777186,,not_extracted,,,previously treated advanced salivary gland carcinoma (pan-salivary source-scope estimate),109,DOR,,not_reached,months,,not_extracted,,not_extracted,not_extracted,median,5,,median DOR not reached; range 25.1-49.8+ months; all 5 responders >=24 months; pan-salivary; verified,True,reported
ICI-94ff54ffd3-01,SGC,PD-1,primary,pembrolizumab,KEYNOTE-158,MK-3475-158,NCT02628067,PMID:35777186,,not_extracted,,,previously treated advanced salivary gland carcinoma (pan-salivary source-scope estimate),109,PFS,4,numeric,months,2.6,numeric,4.2,numeric,reported,median,109,,median PFS; pan-salivary; verified,True,reported
ICI-be1bcca24f-01,SGC,PD-1,primary,pembrolizumab,KEYNOTE-158,MK-3475-158,NCT02628067,PMID:35777186,,not_extracted,,,previously treated advanced salivary gland carcinoma (pan-salivary source-scope estimate),109,OS,21.1,numeric,months,15.9,numeric,25.5,numeric,reported,median,109,,median OS; pan-salivary; verified,True,reported
ICI-2d5cb04e92-01,ACINIC,PD-1,alternate,nivolumab+ipilimumab,"Vos et al phase 2 salivary (cohort 2, non-ACC SGC)",,,DOI:10.1038/s41591-023-02518-x,,not_extracted,,,"advanced non-ACC salivary gland cancer (dual checkpoint, includes acinic-type histologies)",32,ORR,16,numeric,percent,,not_extracted,,not_extracted,not_extracted,,32,5,non-ACC salivary cohort 2; 5/32; primary endpoint met; PMID 37620627; verified,True,reported
ICI-59bed8bbec-01,ACINIC,PD-1,alternate,nivolumab+ipilimumab,"Vos et al phase 2 salivary (cohort 2, non-ACC SGC)",,,DOI:10.1038/s41591-023-02518-x,,not_extracted,,,"advanced non-ACC salivary gland cancer (dual checkpoint, includes acinic-type histologies)",32,PFS,2.2,numeric,months,1.8,numeric,5.3,numeric,reported,median,32,,"median PFS, non-ACC cohort 2; verified exactly",True,reported
ICI-5c19d1d9a0-01,ADCC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,phase 2 nivolumab plus ipilimumab salivary gland cancer trial,17-219,NCT03172624,DOI:10.1038/s41591-023-02518-x,,not_extracted,,,advanced adenoid cystic carcinoma (ACC) of salivary gland,32,ORR,6,numeric,percent,,not_extracted,,not_extracted,not_extracted,,32,2,2/32 ACC cohort (cohort 1); primary endpoint (>=4 responses) NOT met in this cohort; matches table 6%; PMID 37620627,True,reported
ICI-9cbaa71858-01,ADCC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,phase 2 nivolumab plus ipilimumab salivary gland cancer trial,17-219,NCT03172624,DOI:10.1038/s41591-023-02518-x,,not_extracted,,,advanced adenoid cystic carcinoma (ACC) of salivary gland,32,PFS,4.4,numeric,months,2.4,numeric,8.3,numeric,reported,median,32,,"median PFS, ACC cohort (cohort 1); 95% CI 2.4-8.3 confirmed",True,reported
ICI-cf3b5df820-01,ADCC,PD-1+CTLA-4,alternate,nivolumab+ipilimumab,Chae et al phase 2,,NCT03146650,PMID:40166913,,not_extracted,,,metastatic/recurrent adenoid cystic carcinoma (separate ipi+nivo trial; single-institution),19,ORR,5,numeric,percent,,not_extracted,,not_extracted,not_extracted,,19,1,"1/19 confirmed PR, 0 CR; Cancer Medicine 2025; corroborates checkpoint-resistance",True,reported
ICI-b5cfd95674-01,ADCC,PD-1+CTLA-4,alternate,nivolumab+ipilimumab,Chae et al phase 2,,NCT03146650,PMID:40166913,,not_extracted,,,metastatic/recurrent adenoid cystic carcinoma (separate ipi+nivo trial; single-institution),19,DCR,53,numeric,percent,,not_extracted,,not_extracted,not_extracted,,19,10,disease control rate 10/19,True,reported
ICI-ceb9c89967-01,ADCC,PD-1+CTLA-4,alternate,nivolumab+ipilimumab,Chae et al phase 2,,NCT03146650,PMID:40166913,,not_extracted,,,metastatic/recurrent adenoid cystic carcinoma (separate ipi+nivo trial; single-institution),19,PFS,8.3,numeric,months,5.5,numeric,30,numeric,reported,median,19,,median PFS; 95% CI 5.5-30.0 confirmed,True,reported
ICI-6ec9bc0a01-01,ADCC,PD-1+CTLA-4,alternate,nivolumab+ipilimumab,Chae et al phase 2,,NCT03146650,PMID:40166913,,not_extracted,,,metastatic/recurrent adenoid cystic carcinoma (separate ipi+nivo trial; single-institution),19,OS,30,numeric,months,15.3,numeric,,NR,reported,median,19,,median OS 30.0 mo; 95% CI 15.3-NR (upper bound not reached),True,reported
ICI-c99b80b7ea-01,ADCC,PD-1+CTLA-4,alternate,pembrolizumab,KEYNOTE-158 (pan-salivary),,,PMID:35777186,,not_extracted,,,"previously treated advanced salivary gland carcinoma (anti-PD-1 monotherapy, pan-salivary proxy)",109,ORR,4.6,numeric,percent,1.5,numeric,10.4,numeric,reported,,109,5,5/109 (1 CR + 4 PR); supports note 'pan-salivary pembro ~4.6%'; not ACC-isolated; 95% CI 1.5-10.4 confirmed,True,reported
ICI-8624416b0e-01,ANSC,PD-1,primary,nivolumab,NCI9673,,NCT02314169,PMID:28223062,,not_extracted,,,refractory metastatic squamous cell carcinoma of the anal canal,37,ORR,24,numeric,percent,15,numeric,33,numeric,reported,,37,9,9/37; matches table 24%,True,reported
ICI-8cd76d5098-01,ANSC,PD-1,primary,nivolumab,NCI9673,,NCT02314169,PMID:28223062,,not_extracted,,,refractory metastatic squamous cell carcinoma of the anal canal,37,CRR,5.4,numeric,percent,,not_extracted,,not_extracted,not_extracted,,37,2,2 complete responses,True,reported
ICI-943547eb15-01,ANSC,PD-1,primary,nivolumab,NCI9673,,NCT02314169,PMID:28223062,,not_extracted,,,refractory metastatic squamous cell carcinoma of the anal canal,37,PR,18.9,numeric,percent,,not_extracted,,not_extracted,not_extracted,,37,7,7 partial responses,True,reported
ICI-cfb30dbca5-01,ANSC,PD-1,alternate,pembrolizumab,KEYNOTE-158,,,PMID:35114169,,not_extracted,,,previously treated advanced anal squamous cell carcinoma,112,ORR,11,numeric,percent,6,numeric,18,numeric,reported,,112,12,12/112; supports row note 'pembro KEYNOTE-158 anal ~11%',True,reported
ICI-024f42b18c-01,ANSC,PD-1,alternate,pembrolizumab,KEYNOTE-158,,,PMID:35114169,,not_extracted,,,previously treated advanced anal squamous cell carcinoma,112,CRR,5,numeric,percent,,not_extracted,,not_extracted,not_extracted,,112,6,6 CR,True,reported
ICI-6cea9b0699-01,ANSC,PD-1,alternate,pembrolizumab,KEYNOTE-158,,,PMID:35114169,,not_extracted,,,previously treated advanced anal squamous cell carcinoma,112,PR,5,numeric,percent,,not_extracted,,not_extracted,not_extracted,,112,6,6 PR,True,reported
ICI-3cfe88d14b-01,ANSC,PD-1,alternate,pembrolizumab,KEYNOTE-158,,,PMID:35114169,,not_extracted,,,previously treated advanced anal squamous cell carcinoma,112,PFS,2,numeric,months,2,numeric,2.1,numeric,reported,median,112,,,True,reported
ICI-6222fb6317-01,ANSC,PD-1,alternate,pembrolizumab,KEYNOTE-158,,,PMID:35114169,,not_extracted,,,previously treated advanced anal squamous cell carcinoma,112,OS,11.9,numeric,months,9.1,numeric,14.9,numeric,reported,median,112,,,True,reported
ICI-31b195fdd0-01,ANSC,PD-1,alternate,pembrolizumab,KEYNOTE-158,,,PMID:35114169,,not_extracted,,,previously treated advanced anal squamous cell carcinoma,112,PFS_RATE,15,numeric,rate_percent,9,numeric,22,numeric,reported,12-month,112,,,True,reported
ICI-12f399f520-01,ANSC,PD-1,alternate,pembrolizumab,KEYNOTE-158,,,PMID:35114169,,not_extracted,,,previously treated advanced anal squamous cell carcinoma,112,OS_RATE,49,numeric,rate_percent,40,numeric,58,numeric,reported,12-month,112,,,True,reported
ICI-f98669fce1-01,ANSC,PD-1,alternate,pembrolizumab,KEYNOTE-158,,,PMID:35114169,,not_extracted,,,previously treated advanced anal squamous cell carcinoma,112,OS_RATE,26,numeric,rate_percent,19,numeric,34,numeric,reported,24-month,112,,,True,reported
ICI-f9b0039eaa-01,ANSC,PD-1,alternate,pembrolizumab,KEYNOTE-158,,,PMID:35114169,,not_extracted,,,previously treated advanced anal squamous cell carcinoma,112,DOR,,not_reached,months,,not_extracted,,not_extracted,not_extracted,median,112,,not reached (range 6.0+ to 33.9+ mo); 90% of responders DOR >=24 mo,True,reported
ICI-ccc536e5e5-01,ANSC,PD-1,alternate,pembrolizumab,KEYNOTE-158,,,PMID:35114169,,not_extracted,,,previously treated advanced anal squamous cell carcinoma,112,ORR,15,numeric,percent,8,numeric,25,numeric,reported,,75,11,"PD-L1 CPS>=1 subgroup, 11/75",True,reported
ICI-deeb11dc2d-01,ATC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,nivolumab plus ipilimumab in aggressive thyroid cancer,,NCT03246958,DOI:10.1200/JCO.2020.38.15_suppl.6513,,not_extracted,,,advanced anaplastic thyroid carcinoma (exploratory cohort),10,ORR,30,numeric,percent,6.7,numeric,65.2,numeric,reported,,10,3,3/10 partial responses; independently confirmed 30% (95% CI 6.7-65.2%) via The ASCO Post; tiny-n exploratory cohort,True,reported
ICI-cb72c7e2fd-01,ATC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,nivolumab plus ipilimumab in aggressive thyroid cancer,,NCT03246958,DOI:10.1200/JCO.2020.38.15_suppl.6513,,not_extracted,,,advanced anaplastic thyroid carcinoma (exploratory cohort),10,DCR,50,numeric,percent,,not_extracted,,not_extracted,not_extracted,,10,,~50% clinical benefit reported; confirmed via The ASCO Post coverage of abstract,True,reported
ICI-966148cfb1-01,ATC,PD-1+CTLA-4,alternate,nivolumab+ipilimumab,"NCT03246958 (RAIR DTC primary cohort, abstr 6513)",,NCT03246958,DOI:10.1200/JCO.2020.38.15_suppl.6513,,not_extracted,,,"radioiodine-refractory differentiated thyroid cancer (context cohort, not ATC)",32,ORR,9.4,numeric,percent,2.8,numeric,28.5,numeric,reported,,32,3,"3/32 partial responses; primary cohort of same trial; ORR 9.4% (95% CI 2.8-28.5%) confirmed verbatim; different cancer (DTC, not ATC), did not meet predefined efficacy criterion",True,reported
ICI-52dbc5d599-01,BCC,PD-1,primary,cemiplimab,cemiplimab locally advanced basal cell carcinoma phase 2,,NCT03132636,PMID:34000246,,not_extracted,,,locally advanced BCC after progression on / intolerance to hedgehog inhibitor,84,ORR,31,numeric,percent,21,numeric,42,numeric,reported,,84,26,26/84 per independent central review; published 95% CI is 21-42 (corrected from cited 21.3). Source paper: Stratigos 2021 (PMID:34000246); cited PMID:33812497 is wrong (KEYNOTE-177),True,reported
ICI-8b2190adfe-01,BCC,PD-1,primary,cemiplimab,cemiplimab locally advanced basal cell carcinoma phase 2,,NCT03132636,PMID:34000246,,not_extracted,,,locally advanced BCC after progression on / intolerance to hedgehog inhibitor,84,CRR,6,numeric,percent,,not_extracted,,not_extracted,not_extracted,,84,5,five (6%) complete responses per abstract,True,reported
ICI-48975a9625-01,BCC,PD-1,primary,cemiplimab,cemiplimab locally advanced basal cell carcinoma phase 2,,NCT03132636,PMID:34000246,,not_extracted,,,locally advanced BCC after progression on / intolerance to hedgehog inhibitor,84,PR,25,numeric,percent,,not_extracted,,not_extracted,not_extracted,,84,21,21 (25%) partial responses per abstract,True,reported
ICI-9394b751d8-01,BCC,PD-1,primary,cemiplimab,cemiplimab locally advanced basal cell carcinoma phase 2,,NCT03132636,PMID:34000246,,not_extracted,,,locally advanced BCC after progression on / intolerance to hedgehog inhibitor,84,DCR,80,numeric,percent,70,numeric,88,numeric,reported,,84,67,"disease control rate 80% (67/84, 95% CI 70-88); corrected from prior extraction which mislabeled the 60% durable-disease-control figure as DCR",True,reported
ICI-6eab5da93b-01,BCC,PD-1,primary,cemiplimab,cemiplimab locally advanced basal cell carcinoma phase 2,,NCT03132636,PMID:34000246,,not_extracted,,,locally advanced BCC after progression on / intolerance to hedgehog inhibitor,84,DURABLE DISEASE CONTROL,60,numeric,percent,48,numeric,70,numeric,reported,,84,50,"durable disease control = no progressive disease for >=182 days; 50/84 (60%, 95% CI 48-70)",True,reported
ICI-d465ee2e25-01,BCC,PD-1,primary,cemiplimab,cemiplimab locally advanced basal cell carcinoma phase 2,,NCT03132636,PMID:34000246,,not_extracted,,,locally advanced BCC after progression on / intolerance to hedgehog inhibitor,84,PFS,19,numeric,months,9,numeric,,NE,reported,median,84,,median PFS 19 months (95% CI 9-NE),True,reported
ICI-895dd9d929-01,BCC,PD-1,primary,cemiplimab,cemiplimab locally advanced basal cell carcinoma phase 2,,NCT03132636,PMID:34000246,,not_extracted,,,locally advanced BCC after progression on / intolerance to hedgehog inhibitor,84,DOR,,not_reached,months,,not_extracted,,not_extracted,not_extracted,median,84,,median DOR not reached; KM estimate of ongoing response 91% at 6 months and 85% at 12 months,True,reported
ICI-19956d182d-01,BCC,PD-1,alternate,cemiplimab,"NCT03132636 (metastatic BCC cohort, final analysis)",,NCT03132636,DOI:10.1016/j.annonc.2023.10.123,,not_extracted,,,metastatic BCC after hedgehog pathway inhibitor,54,ORR,22,numeric,percent,12,numeric,36,numeric,reported,,54,12,12/54 per ICR; independently confirmed from Ann Oncol 2023 final analysis (Lewis et al.). Supports row note 'metastatic BCC ~24%' (final analysis gives 22%),True,reported
ICI-4398a82d1e-01,BCC,PD-1,alternate,cemiplimab,"NCT03132636 (metastatic BCC cohort, final analysis)",,NCT03132636,DOI:10.1016/j.annonc.2023.10.123,,not_extracted,,,metastatic BCC after hedgehog pathway inhibitor,54,CRR,,not_extracted,percent,,not_extracted,,not_extracted,not_extracted,,54,2,2 complete responses (confirmed),True,reported
ICI-143d70f5e9-01,BCC,PD-1,alternate,cemiplimab,"NCT03132636 (metastatic BCC cohort, final analysis)",,NCT03132636,DOI:10.1016/j.annonc.2023.10.123,,not_extracted,,,metastatic BCC after hedgehog pathway inhibitor,54,PR,,not_extracted,percent,,not_extracted,,not_extracted,not_extracted,,54,10,10 partial responses (confirmed),True,reported
ICI-cb7e1bb636-01,BCC,PD-1,alternate,cemiplimab,"NCT03132636 (metastatic BCC cohort, final analysis)",,NCT03132636,DOI:10.1016/j.annonc.2023.10.123,,not_extracted,,,metastatic BCC after hedgehog pathway inhibitor,54,PFS,10,numeric,months,4,numeric,16,numeric,reported,median,54,,median PFS per ICR 10 months (95% CI 4-16); added from final analysis,False,reported
ICI-ed94d6f902-01,BCC,PD-1,alternate,cemiplimab,"NCT03132636 (metastatic BCC cohort, final analysis)",,NCT03132636,DOI:10.1016/j.annonc.2023.10.123,,not_extracted,,,metastatic BCC after hedgehog pathway inhibitor,54,OS,50,numeric,months,28,numeric,,NE,reported,median,54,,median OS 50 months (95% CI 28-NE); added from final analysis,False,reported
ICI-5b1e201a99-01,BLCA,PD-1,primary,pembrolizumab,KEYNOTE-052,MK-3475-052,NCT02335424,PMID:32552471,,not_extracted,,,"first-line cisplatin-ineligible; all-comers (final/long-term analysis, Vuky 2020)",370,ORR,28.6,numeric,percent,24.1,numeric,33.3,numeric,reported,,370,106,matches table 28.6,True,reported
ICI-278a4de643-01,BLCA,PD-1,primary,pembrolizumab,KEYNOTE-052,MK-3475-052,NCT02335424,PMID:32552471,,not_extracted,,,"first-line cisplatin-ineligible; all-comers (final/long-term analysis, Vuky 2020)",370,CRR,8.9,numeric,percent,,not_extracted,,not_extracted,not_extracted,,370,33,,True,reported
ICI-ef83e86663-01,BLCA,PD-1,primary,pembrolizumab,KEYNOTE-052,MK-3475-052,NCT02335424,PMID:32552471,,not_extracted,,,"first-line cisplatin-ineligible; all-comers (final/long-term analysis, Vuky 2020)",370,PR,19.7,numeric,percent,,not_extracted,,not_extracted,not_extracted,,370,73,partial response,True,reported
ICI-5a7d2cb428-01,BLCA,PD-1,primary,pembrolizumab,KEYNOTE-052,MK-3475-052,NCT02335424,PMID:32552471,,not_extracted,,,"first-line cisplatin-ineligible; all-comers (final/long-term analysis, Vuky 2020)",370,DOR,30.1,numeric,months,18.1,numeric,,NR,reported,median,,,CI upper = not reached,True,reported
ICI-06eac5a1cb-01,BLCA,PD-1,primary,pembrolizumab,KEYNOTE-052,MK-3475-052,NCT02335424,PMID:32552471,,not_extracted,,,"first-line cisplatin-ineligible; all-comers (final/long-term analysis, Vuky 2020)",370,OS,11.3,numeric,months,9.7,numeric,13.1,numeric,reported,median,370,,,True,reported
ICI-acb3b19314-01,BLCA,PD-1,primary,pembrolizumab,KEYNOTE-052,MK-3475-052,NCT02335424,PMID:32552471,,not_extracted,,,"first-line cisplatin-ineligible; all-comers (final/long-term analysis, Vuky 2020)",370,OS_RATE,46.9,numeric,rate_percent,,not_extracted,,not_extracted,not_extracted,12-month,370,,,True,reported
ICI-2e11cec466-01,BLCA,PD-1,primary,pembrolizumab,KEYNOTE-052,MK-3475-052,NCT02335424,PMID:32552471,,not_extracted,,,"first-line cisplatin-ineligible; all-comers (final/long-term analysis, Vuky 2020)",370,OS_RATE,31.2,numeric,rate_percent,,not_extracted,,not_extracted,not_extracted,24-month,370,,,True,reported
ICI-def378bec0-01,BLCA,PD-1,alternate,pembrolizumab,KEYNOTE-052,,,PMID:32552471,,not_extracted,,,first-line cisplatin-ineligible; PD-L1 CPS>=10 subgroup,,ORR,47.3,numeric,percent,37.7,numeric,57,numeric,reported,,,,CPS>=10; row note ~47%,True,reported
ICI-9ef67e9b93-01,BLCA,PD-1,alternate,pembrolizumab,KEYNOTE-052,,,PMID:32552471,,not_extracted,,,first-line cisplatin-ineligible; PD-L1 CPS>=10 subgroup,,OS,18.5,numeric,months,12.2,numeric,28.5,numeric,reported,median,,,CPS>=10,True,reported
ICI-22d7ca6935-01,BLCA,PD-1,alternate,nivolumab,CheckMate-275,,,PMID:28131785,,not_extracted,,,"metastatic urothelial carcinoma, pretreated (>=1 prior platinum); all-comers",270,ORR,19.6,numeric,percent,15,numeric,24.9,numeric,reported,,265,52,Sharma 2017 Lancet Oncol; row note pretreated ~20%; ORR pop n=265,True,reported
ICI-1c4c4cfa84-01,BLCA,PD-1,alternate,nivolumab,CheckMate-275,,,PMID:28131785,,not_extracted,,,"metastatic urothelial carcinoma, pretreated (>=1 prior platinum); all-comers",270,ORR,28.4,numeric,percent,18.9,numeric,39.5,numeric,reported,,81,23,PD-L1>=5%,True,reported
ICI-bde6ff938a-01,BLCA,PD-1,alternate,nivolumab,CheckMate-275,,,PMID:28131785,,not_extracted,,,"metastatic urothelial carcinoma, pretreated (>=1 prior platinum); all-comers",270,ORR,16.1,numeric,percent,10.5,numeric,23.1,numeric,reported,,143,23,PD-L1<1%,True,reported
ICI-c4d53723ca-01,BLCA,PD-1,alternate,nivolumab,CheckMate-275,,,PMID:28131785,,not_extracted,,,"metastatic urothelial carcinoma, pretreated (>=1 prior platinum); all-comers",270,PFS,2,numeric,months,,not_extracted,,not_extracted,not_extracted,median,270,,,True,reported
ICI-79dcf4f7b4-01,BLCA,PD-1,alternate,nivolumab,CheckMate-275,,,PMID:28131785,,not_extracted,,,"metastatic urothelial carcinoma, pretreated (>=1 prior platinum); all-comers",270,OS,8.74,numeric,months,,not_extracted,,not_extracted,not_extracted,median,270,,,True,reported
ICI-9177ece704-01,BLCA,PD-L1,primary,atezolizumab,IMvigor210,,NCT02951767,PMID:27939400,,not_extracted,,,first-line cisplatin-ineligible; all-comers (Balar 2017),119,ORR,23,numeric,percent,16,numeric,31,numeric,reported,,119,,matches table 23.0; median follow-up 17.2 mo,True,reported
ICI-ecf5c23723-01,BLCA,PD-L1,primary,atezolizumab,IMvigor210,,NCT02951767,PMID:27939400,,not_extracted,,,first-line cisplatin-ineligible; all-comers (Balar 2017),119,CRR,9,numeric,percent,,not_extracted,,not_extracted,not_extracted,,119,,,True,reported
ICI-2fcd0d8682-01,BLCA,PD-L1,primary,atezolizumab,IMvigor210,,NCT02951767,PMID:27939400,,not_extracted,,,first-line cisplatin-ineligible; all-comers (Balar 2017),119,DOR,,not_reached,months,,not_extracted,,not_extracted,not_extracted,median,,,median DOR not reached; 19/27 responses ongoing,True,reported
ICI-3532954092-01,BLCA,PD-L1,primary,atezolizumab,IMvigor210,,NCT02951767,PMID:27939400,,not_extracted,,,first-line cisplatin-ineligible; all-comers (Balar 2017),119,PFS,2.7,numeric,months,2.1,numeric,4.2,numeric,reported,median,119,,,True,reported
ICI-e1c1959728-01,BLCA,PD-L1,primary,atezolizumab,IMvigor210,,NCT02951767,PMID:27939400,,not_extracted,,,first-line cisplatin-ineligible; all-comers (Balar 2017),119,OS,15.9,numeric,months,10.4,numeric,,NE,reported,median,119,,CI upper = not estimable,True,reported
ICI-e52143e1a0-01,BLCA,PD-L1,alternate,atezolizumab,IMvigor210 cohort 2,,,PMID:26952546,,not_extracted,,,"metastatic urothelial carcinoma, platinum-pretreated (Rosenberg 2016 Lancet)",,ORR,15,numeric,percent,11,numeric,20,numeric,reported,,310,,row note 2L ~15%; ORR in all-comers cohort 2,True,reported
ICI-2d8a335e01-01,BLCA,PD-L1,alternate,durvalumab,Study 1108 (phase 1/2),,,PMID:28817753,,not_extracted,,,"locally advanced/metastatic urothelial carcinoma, mostly pretreated (Powles 2017 JAMA Oncol)",191,ORR,17.8,numeric,percent,12.7,numeric,24,numeric,reported,,191,,row note durva 17.8%,True,reported
ICI-9e11d8b7bd-01,BLCA,PD-L1,alternate,avelumab,JAVELIN Solid Tumor,,,PMID:29217288,,not_extracted,,,metastatic urothelial carcinoma after platinum failure (Patel 2018 Lancet Oncol),249,ORR,17,numeric,percent,11,numeric,,not_extracted,reported,,161,,row note avelumab 17%; ORR ~17% in >=6mo follow-up subset,True,reported
ICI-02e900249c-01,BRCA_Basal,PD-1,primary,pembrolizumab,KEYNOTE-086,MK-3475-086,NCT02447003,PMID:30475950,,not_extracted,,,pretreated metastatic TNBC; all-comers (Adams 2019),170,ORR,5.3,numeric,percent,2.7,numeric,9.9,numeric,reported,,170,,table lists 5.0 (rounded); published value 5.3%,True,reported
ICI-00a12fc413-01,BRCA_Basal,PD-1,alternate,pembrolizumab,KEYNOTE-086,MK-3475-086,NCT02447003,PMID:30475950,,not_extracted,,,pretreated metastatic TNBC; all-comers (Adams 2019),170,ORR,5.7,numeric,percent,2.4,numeric,12.2,numeric,reported,,,,PD-L1-positive subgroup,True,reported
ICI-56d7f8d4cf-01,BRCA_Basal,PD-1,primary,pembrolizumab,KEYNOTE-086,MK-3475-086,NCT02447003,PMID:30475950,,not_extracted,,,pretreated metastatic TNBC; all-comers (Adams 2019),170,DCR,7.6,numeric,percent,4.4,numeric,12.7,numeric,reported,,170,,total; PD-L1+ DCR 9.5% (5.1-16.8),True,reported
