cancer_code,source_cohort,source_project,source_version,source_pmid,source_type,source_scale_class,linear_tpm_comparable,tumor_origin,metastasis_site,processing_pipeline,notes,n_reference_genes,n_reference_samples,selected
BRCA_LumA,TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,Treehouse (TCGA-BRCA) x cBioPortal PAM50,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-BRCA subset split by cBioPortal PAM50 subtype calls from brca_tcga_pan_can_atlas_2018. PMID 29625050.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_brca_pam50_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,Treehouse carries TCGA-BRCA samples in the parent breast invasive carcinoma disease bucket. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas patient SUBTYPE calls and routes the five PAM50 cohorts separately. It uses a distinct source_cohort from the unsplit BRCA cohort so subtype-derived references remain auditable.,34571,501,True
BRCA_LumB,TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,Treehouse (TCGA-BRCA) x cBioPortal PAM50,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-BRCA subset split by cBioPortal PAM50 subtype calls from brca_tcga_pan_can_atlas_2018. PMID 29625050.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_brca_pam50_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,Treehouse carries TCGA-BRCA samples in the parent breast invasive carcinoma disease bucket. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas patient SUBTYPE calls and routes the five PAM50 cohorts separately. It uses a distinct source_cohort from the unsplit BRCA cohort so subtype-derived references remain auditable.,34571,199,True
BRCA_Normal,TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,Treehouse (TCGA-BRCA) x cBioPortal PAM50,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-BRCA subset split by cBioPortal PAM50 subtype calls from brca_tcga_pan_can_atlas_2018. PMID 29625050.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_brca_pam50_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,Treehouse carries TCGA-BRCA samples in the parent breast invasive carcinoma disease bucket. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas patient SUBTYPE calls and routes the five PAM50 cohorts separately. It uses a distinct source_cohort from the unsplit BRCA cohort so subtype-derived references remain auditable.,34571,35,True
BRCA_TNBC,TREEHOUSE_POLYA_25_01_TCGA_BRCA_TNBC,Treehouse (TCGA-BRCA) x cBioPortal receptor status,Treehouse 25.01 PolyA; BRCA source-v5.22.10; cBioPortal datahub 0cc9138746c08b304f8dac92c31983e0ef44af1d; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,PMID:23000897,source-matrix-subset,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_brca_tnbc_tpm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,Exact column subset of the checksum-pinned released BRCA raw TPM matrix. Select primary tumor barcodes only and require reported ER-negative and PR-negative IHC plus negative HER2 resolved from IHC/FISH categories. Definite FISH resolves missing/equivocal/indeterminate IHC; conflicting definite IHC/FISH calls remain indeterminate. Never impute from PAM50 or expression. Preserve all parent samples and exclusion reasons in the membership audit. 157 primary TNBC tumors; 77 primary cases indeterminate. Overlaps the BRCA umbrella and PAM50 cohorts; never sum their counts. See docs/audits/brca-tnbc.md for pinned inputs and reproduction commands.,34571,157,True
B_ALL,TARGET_ALL_2018,TARGET ALL,https://portal.gdc.cancer.gov/projects/TARGET-ALL-P2; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,gdc,linear_rnaseq_tpm,True,primary,,gdc_star_counts_tpm_ensembl112_clean_tpm_16_9_75,"Three TARGET ALL phases merged. GDC diagnoses do not encode B/T lineage; the builder routes cases from the public Phase 1/2 sample-matrix ""Cell of origin"" comments.",60279,154,True
CESC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,306,True
CHOL,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,36,True
CLL,CLLMAP_2022,CLL-map,https://data.broadinstitute.org/cllmap/downloads.html; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,primary,,cllmap_raw_tpm_gencode19_ensembl112_clean_tpm_16_9_75,Single bundled TPM TSV; GENCODE v19 IDs harmonized to Ensembl 112.,52078,708,True
CML,GSE100026_DING_2017,GEO,GSE100026 (Ding 2017); unit=RPKM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,primary,,geo_heme_expression_ensembl112_clean_tpm_16_9_75,"Peripheral blood mononuclear cells; chronic-phase CML samples only (title prefix CML-CP); RPKM → TPM within retained, uniquely Ensembl-harmonized genes.",19297,5,True
CMN,GSE11482_GADD_2010_CMN,GEO,PMID 20212451 (Gadd 2010 pediatric renal tumors); unit=TPM proxy; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-microarray,microarray_tpm_proxy,False,primary,,GPL96 series-matrix log2 intensity to TPM proxy; Ensembl 112,Twelve pretreatment cellular CMNs with at least 80% viable tumor. Affymetrix HG-U133A intensity is converted to a within-sample TPM proxy for cross-platform marker and rank validation. It is not absolute RNA-seq TPM and must not be pooled into RNA-seq centroids.,13393,12,True
CMN,TREEHOUSE_RIBOD_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 RiboDeplete (released Jan 2025; TPM matrix 2025-03-19). GSE294353.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_ribod_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"RiboD (ribo-depleted) sibling of treehouse-polya-25-01; 2,079 samples. Same builder works after pointing `--cache-dir` / `--tpm-file` / `--clinical-file` at the RiboD files. For raw values for genes in the single global technical-RNA panel can differ from PolyA by more than 10x. Clean TPM replaces that 9% compartment with the Treehouse PolyA reference composition for every assay. The physical cohorts remain separate source_cohort tags because clean TPM does not make the assays physically equivalent.",34476,1,False
COAD,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,290,True
COAD_MSI,TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI,Treehouse (TCGA-COAD/READ) x cBioPortal MSIsensor,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-COAD/READ subset split by cBioPortal MSIsensor score from coadread_tcga_pan_can_atlas_2018. PMID 26028255.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_coadread_msi_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse carries TCGA-COAD and TCGA-READ samples in separate colon and rectum disease buckets. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas sample-level MSIsensor scores and routes MSI-H as MSI_SENSOR_SCORE >= 10, matching the existing oncoref TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI source-cohort provenance. MSS rows use MSI_SENSOR_SCORE < 10.",34571,50,True
COAD_MSS,TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI,Treehouse (TCGA-COAD/READ) x cBioPortal MSIsensor,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-COAD/READ subset split by cBioPortal MSIsensor score from coadread_tcga_pan_can_atlas_2018. PMID 26028255.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_coadread_msi_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse carries TCGA-COAD and TCGA-READ samples in separate colon and rectum disease buckets. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas sample-level MSIsensor scores and routes MSI-H as MSI_SENSOR_SCORE >= 10, matching the existing oncoref TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI source-cohort provenance. MSS rows use MSI_SENSOR_SCORE < 10.",34571,226,True
CRANIO,OPENPBTA_V23_CBTN_CRANIO,OpenPBTA,release-v23-20230115; unit=RSEM TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,PMID:37492101,openpbta-rnaseq-rsem,linear_rnaseq_tpm,True,primary,,openpbta_v23_primary_cranio_stranded_rsem_tpm_ensembl112_clean_tpm_16_9_75,"Select the 29 independent CBTN solid-tissue initial CNS tumors harmonized by OpenPBTA as craniopharyngioma, all from the stranded RSEM-TPM matrix. Retain three recurrent and four progressive craniopharyngiomas as explicit exclusions. Twenty selected tumors are adamantinomatous and nine are not molecularly classified; no papillary tumors are represented, so subtype status is never inferred. This direct pediatric cohort remains reference-only rather than independently classification-ready.",56697,29,True
CTCL,GSE171811_ECCITE_CTCL,GEO,GSE171811 (ECCITE-seq CTCL); unit=nTPM (pseudobulk); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo,scrna_tcr_pseudobulk_ntpm,False,primary,,gse171811_ctcl_scrna_tcrb_pseudobulk_ntpm_ensembl112_clean_tpm_16_9_75,scRNA + TCR-β ECCITE-seq; pseudobulk per donor; output is nTPM.,17004,7,True
DIPG,OPENPBTA_V23_DIPG_H3K27,OpenPBTA,release-v23-20230115; unit=RSEM TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,PMID:37492101,openpbta-rnaseq-rsem,linear_rnaseq_tpm,True,primary,,openpbta_v23_primary_dipg_h3k27_polya_stranded_rsem_tpm_ensembl112_clean_tpm_16_9_75,"Select one initial solid-tumor profile for each of 32 independent donors whose pathology diagnosis is diffuse intrinsic pontine glioma and whose OpenPBTA integrated and harmonized diagnoses are both H3 K28-mutant (the source label for the canonical H3 K27-altered entity). Prefer the original poly-A profile when the same donor also has a stranded library. Retain all 51 RNA-sequenced DIPG-pathology specimens in the audit manifest, explicitly excluding 13 without the canonical H3-altered diagnosis, four non-initial H3-altered tumors, and two duplicate-library profiles. The mixed-library direct cohort remains reference-only rather than independently classification-ready.",56697,32,True
DLBC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,47,True
EPN,GSE141460_GOJO_2020_EPN,GEO,GSE141460; Gojo et al. Cancer Cell 2020; PMID:32663469; PMC7479515; unit=nTPM (malignant-cell mean pseudobulk); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,PMID:32663469,geo-scrna-pseudobulk,scrna_malignant_cell_mean_tpm_pseudobulk,False,primary,,gse141460_diagnosis_malignant_cell_mean_tpm_pseudobulk_ensembl112_clean_tpm_16_9_75,"Join the 28 patient tissue matrices to checksum-pinned clinical Table S1. Retain only the 11 diagnosis-stage specimens containing author-labeled malignant cells; preserve 15 recurrent specimens and two diagnostic normal-only specimens as explicit exclusions. Average author per-cell TPM within each included patient and rescale to nTPM. Exclude cell lines and PDXs. The direct EPN pseudobulk is neither bulk-TPM comparable nor, by itself, classification-ready.",21864,11,True
ESCA,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,182,True
FL,GSE142334_FL_TFL_2021,GEO,PMID 33569544 (FL/tFL paired bulk RNA-seq); unit=raw_counts; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,primary,,gse142334_fl_tfl_2021_raw_counts_to_tpm_oncoref_canonical_clean_tpm_16_9_75,Paired biopsies; 6 FL (sample IDs end F) used; 6 transformed-FL (suffix T) excluded by sample_filter. HTSeq raw counts (Ensembl with version suffix) → length-normalized → per-sample TPM.,51382,6,True
GBC,GSE139682_GBC,GEO,GSE139682; PMID:31792210; unit=RPKM-derived TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,PMID:31792210,geo-rnaseq-rpkm,linear_rnaseq_tpm,True,primary,,gse139682_rpkm_to_tpm_ensembl112_clean_tpm_16_9_75,Select all 10 primary gallbladder tumors and retain all 10 matched normal gallbladder samples as explicit exclusions. Renormalize author RPKM to TPM within each tumor sample. This direct n=10 reference is kept reference-only rather than treated as independently classification-ready.,30708,10,True
