cancer_code,subtype,symbol,role,agent,pmid,pubmed_title,publication_year,supports_gene_or_agent,supports_disease_context,supports_role_and_phase,reviewed_on
BRCA,,ESR1,target,elacestrant,PMID:35584336,"Elacestrant (oral selective estrogen receptor degrader) Versus Standard Endocrine Therapy for Estrogen Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Advanced Breast Cancer: Results From the Randomized Phase III EMERALD Trial.",2022,true,true,true,2026-07-17
BRCA,,CDK4,target,palbociclib,PMID:25524798,"The cyclin-dependent kinase 4/6 inhibitor palbociclib in combination with letrozole versus letrozole alone as first-line treatment of oestrogen receptor-positive, HER2-negative, advanced breast cancer (PALOMA-1/TRIO-18): a randomised phase 2 study.",2015,true,true,true,2026-07-17
BRCA,,CDK6,target,abemaciclib,PMID:39693591,Abemaciclib Plus Fulvestrant in Advanced Breast Cancer After Progression on CDK4/6 Inhibition: Results From the Phase III postMONARCH Trial.,2025,true,true,true,2026-07-17
LUAD,,EGFR,biomarker,,PMID:15118073,Activating mutations in the epidermal growth factor receptor underlying responsiveness of non-small-cell lung cancer to gefitinib.,2004,true,true,true,2026-07-17
LUAD,,KRAS,biomarker,,PMID:34096690,Sotorasib for Lung Cancers with KRAS p.G12C Mutation.,2021,true,true,true,2026-07-17
LUAD,,ALK,biomarker,,PMID:17625570,Identification of the transforming EML4-ALK fusion gene in non-small-cell lung cancer.,2007,true,true,true,2026-07-17
LUAD,,ROS1,biomarker,,PMID:22215748,ROS1 rearrangements define a unique molecular class of lung cancers.,2012,true,true,true,2026-07-17
LUAD,,BRAF,biomarker,,PMID:27283860,"Dabrafenib plus trametinib in patients with previously treated BRAF(V600E)-mutant metastatic non-small cell lung cancer: an open-label, multicentre phase 2 trial.",2016,true,true,true,2026-07-17
LUAD,,RET,biomarker,,PMID:32846060,Efficacy of Selpercatinib in RET Fusion-Positive Non-Small-Cell Lung Cancer.,2020,true,true,true,2026-07-17
LUAD,,MET,biomarker,,PMID:32877583,Capmatinib in MET Exon 14-Mutated or MET-Amplified Non-Small-Cell Lung Cancer.,2020,true,true,true,2026-07-17
LUAD,,NTRK1,biomarker,,PMID:29466156,Efficacy of Larotrectinib in TRK Fusion-Positive Cancers in Adults and Children.,2018,true,true,true,2026-07-17
LUAD,,CD274,biomarker,,PMID:27718847,Pembrolizumab versus Chemotherapy for PD-L1-Positive Non-Small-Cell Lung Cancer.,2016,true,true,true,2026-07-17
LUAD,,KEAP1,biomarker,,PMID:37889752,KEAP1 mutation in lung adenocarcinoma promotes immune evasion and immunotherapy resistance.,2023,true,true,true,2026-07-17
LUAD,,STK11,biomarker,,PMID:29773717,STK11/LKB1 Mutations and PD-1 Inhibitor Resistance in KRAS-Mutant Lung Adenocarcinoma.,2018,true,true,true,2026-07-17
LUAD,,NKX2-1,biomarker,,PMID:39113226,Neutrophils Recruited by NKX2-1 Suppression via Activation of CXCLs/CXCR2 Axis Promote Lung Adenocarcinoma Progression.,2024,true,true,true,2026-07-17
LUAD,,EGFR,target,osimertinib,PMID:29151359,Osimertinib in Untreated EGFR-Mutated Advanced Non-Small-Cell Lung Cancer.,2018,true,true,true,2026-07-17
LUAD,,ALK,target,alectinib,PMID:28586279,Alectinib versus Crizotinib in Untreated ALK-Positive Non-Small-Cell Lung Cancer.,2017,true,true,true,2026-07-17
LUAD,,KRAS,target,sotorasib,PMID:34096690,Sotorasib for Lung Cancers with KRAS p.G12C Mutation.,2021,true,true,true,2026-07-17
LUAD,,KRAS,target,adagrasib,PMID:35658005,Adagrasib in Non-Small-Cell Lung Cancer Harboring a KRASG12C Mutation.,2022,true,true,true,2026-07-17
LUAD,,BRAF,target,dabrafenib + trametinib,PMID:27283860,"Dabrafenib plus trametinib in patients with previously treated BRAF(V600E)-mutant metastatic non-small cell lung cancer: an open-label, multicentre phase 2 trial.",2016,true,true,true,2026-07-17
LUAD,,MET,target,capmatinib,PMID:32877583,Capmatinib in MET Exon 14-Mutated or MET-Amplified Non-Small-Cell Lung Cancer.,2020,true,true,true,2026-07-17
LUAD,,RET,target,selpercatinib,PMID:32846060,Efficacy of Selpercatinib in RET Fusion-Positive Non-Small-Cell Lung Cancer.,2020,true,true,true,2026-07-17
LUAD,,PDCD1,target,pembrolizumab,PMID:27718847,Pembrolizumab versus Chemotherapy for PD-L1-Positive Non-Small-Cell Lung Cancer.,2016,true,true,true,2026-07-17
LUAD,,TACSTD2,target,datopotamab deruxtecan,PMID:39250535,"Datopotamab Deruxtecan Versus Docetaxel for Previously Treated Advanced or Metastatic Non-Small Cell Lung Cancer: The Randomized, Open-Label Phase III TROPION-Lung01 Study.",2025,true,true,true,2026-07-17
COAD,,KRAS,biomarker,,PMID:18316791,Wild-type KRAS is required for panitumumab efficacy in patients with metastatic colorectal cancer.,2008,true,true,true,2026-07-17
COAD,,NRAS,biomarker,,PMID:20921462,"Randomized phase III study of panitumumab with fluorouracil, leucovorin, and irinotecan (FOLFIRI) compared with FOLFIRI alone as second-line treatment in patients with metastatic colorectal cancer.",2010,true,true,true,2026-07-17
COAD,,BRAF,biomarker,,PMID:31566309,"Encorafenib, Binimetinib, and Cetuximab in BRAF V600E-Mutated Colorectal Cancer.",2019,true,true,true,2026-07-17
COAD,,MLH1,biomarker,,PMID:15849733,"Spectrum and frequencies of mutations in MSH2 and MLH1 identified in 1,721 German families suspected of hereditary nonpolyposis colorectal cancer.",2005,true,true,true,2026-07-17
COAD,,MSH2,biomarker,,PMID:21642682,"Cancer risks associated with germline mutations in MLH1, MSH2, and MSH6 genes in Lynch syndrome.",2011,true,true,true,2026-07-17
COAD,,MSH6,biomarker,,PMID:21642682,"Cancer risks associated with germline mutations in MLH1, MSH2, and MSH6 genes in Lynch syndrome.",2011,true,true,true,2026-07-17
COAD,,PMS2,biomarker,,PMID:40612862,Lynch syndrome and colorectal cancer: A review of current perspectives in molecular genetics and clinical strategies.,2025,true,true,true,2026-07-17
COAD,,CDX2,biomarker,,PMID:30631044,CDX2 inhibits the proliferation and tumor formation of colon cancer cells by suppressing Wnt/β-catenin signaling via transactivation of GSK-3β and Axin2 expression.,2019,true,true,true,2026-07-17
COAD,,CEACAM5,biomarker,,PMID:17060676,ASCO 2006 update of recommendations for the use of tumor markers in gastrointestinal cancer.,2006,true,true,true,2026-07-17
COAD,,ERBB2,biomarker,,PMID:27108243,"Dual-targeted therapy with trastuzumab and lapatinib in treatment-refractory, KRAS codon 12/13 wild-type, HER2-positive metastatic colorectal cancer (HERACLES): a proof-of-concept, multicentre, open-label, phase 2 trial.",2016,true,true,true,2026-07-17
COAD,,TP53,biomarker,,PMID:22810696,Comprehensive molecular characterization of human colon and rectal cancer.,2012,true,true,true,2026-07-17
COAD,,APC,biomarker,,PMID:11978510,The APC gene in colorectal cancer.,2002,true,true,true,2026-07-17
COAD,,BRAF,target,encorafenib + cetuximab,PMID:31566309,"Encorafenib, Binimetinib, and Cetuximab in BRAF V600E-Mutated Colorectal Cancer.",2019,true,true,true,2026-07-17
COAD,,KRAS,target,sotorasib,PMID:40215429,Overall Survival Analysis of the Phase III CodeBreaK 300 Study of Sotorasib Plus Panitumumab Versus Investigator's Choice in Chemorefractory KRAS G12C Colorectal Cancer.,2025,true,true,true,2026-07-17
COAD,,KRAS,target,adagrasib,PMID:36546659,Adagrasib with or without Cetuximab in Colorectal Cancer with Mutated KRAS G12C.,2023,true,true,true,2026-07-17
COAD,,ERBB2,target,trastuzumab + tucatinib,PMID:37142372,"Tucatinib plus trastuzumab for chemotherapy-refractory, HER2-positive, RAS wild-type unresectable or metastatic colorectal cancer (MOUNTAINEER): a multicentre, open-label, phase 2 study.",2023,true,true,true,2026-07-17
COAD,,EGFR,target,cetuximab,PMID:19339720,Cetuximab and chemotherapy as initial treatment for metastatic colorectal cancer.,2009,true,true,true,2026-07-17
COAD,,EGFR,target,panitumumab,PMID:20921462,"Randomized phase III study of panitumumab with fluorouracil, leucovorin, and irinotecan (FOLFIRI) compared with FOLFIRI alone as second-line treatment in patients with metastatic colorectal cancer.",2010,true,true,true,2026-07-17
COAD,,PDCD1,target,pembrolizumab,PMID:33264544,Pembrolizumab in Microsatellite-Instability-High Advanced Colorectal Cancer.,2020,true,true,true,2026-07-17
COAD,,CEACAM5,target,labetuzumab govitecan,PMID:28817371,Phase I/II Trial of Labetuzumab Govitecan (Anti-CEACAM5/SN-38 Antibody-Drug Conjugate) in Patients With Refractory or Relapsing Metastatic Colorectal Cancer.,2017,true,true,true,2026-07-17
SKCM,,BRAF,biomarker,,PMID:37627054,"BRAF Mutations in Melanoma: Biological Aspects, Therapeutic Implications, and Circulating Biomarkers.",2023,true,true,true,2026-07-17
SKCM,,NRAS,biomarker,,PMID:23414587,"MEK162 for patients with advanced melanoma harbouring NRAS or Val600 BRAF mutations: a non-randomised, open-label phase 2 study.",2013,true,true,true,2026-07-17
SKCM,,MITF,biomarker,,PMID:39277608,"MITF regulates IDH1, NNT, and a transcriptional program protecting melanoma from reactive oxygen species.",2024,true,true,true,2026-07-17
SKCM,,S100B,biomarker,,PMID:19617299,Biomarkers in melanoma.,2009,true,true,true,2026-07-17
SKCM,,MLANA,biomarker,,PMID:12819038,MLANA/MART1 and SILV/PMEL17/GP100 are transcriptionally regulated by MITF in melanocytes and melanoma.,2003,true,true,true,2026-07-17
SKCM,,TYR,biomarker,,PMID:40651969,Endogenous tyrosinase-catalyzed therapeutics.,2025,true,true,true,2026-07-17
SKCM,,PMEL,biomarker,,PMID:12819038,MLANA/MART1 and SILV/PMEL17/GP100 are transcriptionally regulated by MITF in melanocytes and melanoma.,2003,true,true,true,2026-07-17
SKCM,,PRAME,biomarker,,PMID:38338862,"PRAME Updated: Diagnostic, Prognostic, and Therapeutic Role in Skin Cancer.",2024,true,true,true,2026-07-17
SKCM,,CD274,biomarker,,PMID:38718296,The Circadian Clock Component RORA Increases Immunosurveillance in Melanoma by Inhibiting PD-L1 Expression.,2024,true,true,true,2026-07-17
SKCM,,BRAF,target,dabrafenib + trametinib,PMID:25399551,Improved overall survival in melanoma with combined dabrafenib and trametinib.,2015,true,true,true,2026-07-17
SKCM,,BRAF,target,encorafenib + binimetinib,PMID:29573941,"Encorafenib plus binimetinib versus vemurafenib or encorafenib in patients with BRAF-mutant melanoma (COLUMBUS): a multicentre, open-label, randomised phase 3 trial.",2018,true,true,true,2026-07-17
SKCM,,BRAF,target,vemurafenib,PMID:21639808,Improved survival with vemurafenib in melanoma with BRAF V600E mutation.,2011,true,true,true,2026-07-17
SKCM,,PDCD1,target,pembrolizumab,PMID:25891173,Pembrolizumab versus Ipilimumab in Advanced Melanoma.,2015,true,true,true,2026-07-17
SKCM,,PDCD1,target,nivolumab,PMID:26027431,Combined Nivolumab and Ipilimumab or Monotherapy in Untreated Melanoma.,2015,true,true,true,2026-07-17
SKCM,,CTLA4,target,ipilimumab,PMID:20525992,Improved survival with ipilimumab in patients with metastatic melanoma.,2010,true,true,true,2026-07-17
SKCM,,LAG3,target,relatlimab,PMID:34986285,Relatlimab and Nivolumab versus Nivolumab in Untreated Advanced Melanoma.,2022,true,true,true,2026-07-17
SKCM,,PRAME,target,IMA203,PMID:40205198,Autologous T cell therapy for PRAME+ advanced solid tumors in HLA-A*02+ patients: a phase 1 trial.,2025,true,true,true,2026-07-17
SKCM,,TYR,target,TYR-directed TCR-T,PMID:31054264,Engineering antigen-specific NK cell lines against the melanoma-associated antigen tyrosinase via TCR gene transfer.,2019,true,true,true,2026-07-17
HNSC,,CDKN2A,biomarker,,PMID:29355614,Head and neck squamous cell carcinoma: Genomics and emerging biomarkers for immunomodulatory cancer treatments.,2018,true,true,true,2026-07-17
HNSC,,EGFR,biomarker,,PMID:40996745,Emerging EGFR-Targeted Therapy in Head and Neck Cancer: A Review.,2025,true,true,true,2026-07-17
HNSC,,CD274,biomarker,,PMID:29355614,Head and neck squamous cell carcinoma: Genomics and emerging biomarkers for immunomodulatory cancer treatments.,2018,true,true,true,2026-07-17
HNSC,,CCND1,biomarker,,PMID:42268368,Oncogene amplification of CCND1 via extrachromosomal DNA impacts overall survival in head and neck squamous cell carcinoma.,2026,true,true,true,2026-07-17
HNSC,,TP53,biomarker,,PMID:40885710,Transcriptional activation of PHKG2 by TP53 promotes ferroptosis through nuclear export of NRF2 in head and neck squamous cell carcinoma.,2025,true,true,true,2026-07-17
HNSC,,PIK3CA,biomarker,,PMID:34779417,Therapeutic implications of activating noncanonical PIK3CA mutations in head and neck squamous cell carcinoma.,2021,true,true,true,2026-07-17
HNSC,,FADD,biomarker,,PMID:40370064,FADD Functions as an Oncogene in Chr11q13.3-Amplified Head and Neck Squamous Cell Carcinoma.,2025,true,true,true,2026-07-17
HNSC,,EGFR,target,cetuximab,PMID:18784101,Platinum-based chemotherapy plus cetuximab in head and neck cancer.,2008,true,true,true,2026-07-17
HNSC,,PDCD1,target,pembrolizumab,PMID:31679945,"Pembrolizumab alone or with chemotherapy versus cetuximab with chemotherapy for recurrent or metastatic squamous cell carcinoma of the head and neck (KEYNOTE-048): a randomised, open-label, phase 3 study.",2019,true,true,true,2026-07-17
HNSC,,PDCD1,target,nivolumab,PMID:27718784,Nivolumab for Recurrent Squamous-Cell Carcinoma of the Head and Neck.,2016,true,true,true,2026-07-17
DLBC,,MS4A1,biomarker,,PMID:39017945,"Advances in biology, diagnosis and treatment of DLBCL.",2024,true,true,true,2026-07-17
DLBC,,CD19,biomarker,,PMID:30501490,Tisagenlecleucel in Adult Relapsed or Refractory Diffuse Large B-Cell Lymphoma.,2019,true,true,true,2026-07-17
DLBC,,CD79A,biomarker,,PMID:40523447,"Correlation with CD79B expression and clinicopathological parameters including cell of origin, CD79A and CD19 expression, and CD79B mutation in diffuse large B-cell lymphoma.",2025,true,true,true,2026-07-17
DLBC,,CD79B,biomarker,,PMID:34904799,Polatuzumab Vedotin in Previously Untreated Diffuse Large B-Cell Lymphoma.,2022,true,true,true,2026-07-17
DLBC,,BCL6,biomarker,,PMID:37032379,Simplified algorithm for genetic subtyping in diffuse large B-cell lymphoma.,2023,true,true,true,2026-07-17
DLBC,,MME,biomarker,,PMID:18615101,The expression of 16 genes related to the cell of origin and immune response predicts survival in elderly patients with diffuse large B-cell lymphoma treated with CHOP and rituximab.,2008,true,true,true,2026-07-17
DLBC,,IRF4,biomarker,,PMID:37555980,"Emerging entities: high-grade/large B-cell lymphoma with 11q aberration, large B-cell lymphoma with IRF4 rearrangement, and new molecular subgroups in large B-cell lymphomas. A report of the 2022 EA4HP/SH lymphoma workshop.",2023,true,true,true,2026-07-17
DLBC,,MYC,biomarker,,PMID:38184753,Non-IG::MYC in diffuse large B-cell lymphoma confers variable genomic configurations and MYC transactivation potential.,2024,true,true,true,2026-07-17
DLBC,,BCL2,biomarker,,PMID:37032379,Simplified algorithm for genetic subtyping in diffuse large B-cell lymphoma.,2023,true,true,true,2026-07-17
DLBC,,MS4A1,target,rituximab,PMID:16702182,Randomised phase III study of R-ICE versus R-DHAP in relapsed patients with CD20 diffuse large B-cell lymphoma (DLBCL) followed by high-dose therapy and a second randomisation to maintenance treatment with rituximab or not: an update of the CORAL study.,2006,true,true,true,2026-07-17
DLBC,,CD19,target,axicabtagene ciloleucel,PMID:29226797,Axicabtagene Ciloleucel CAR T-Cell Therapy in Refractory Large B-Cell Lymphoma.,2017,true,true,true,2026-07-17
DLBC,,CD19,target,tisagenlecleucel,PMID:30501490,Tisagenlecleucel in Adult Relapsed or Refractory Diffuse Large B-Cell Lymphoma.,2019,true,true,true,2026-07-17
DLBC,,CD19,target,lisocabtagene maraleucel,PMID:32888407,Lisocabtagene maraleucel for patients with relapsed or refractory large B-cell lymphomas (TRANSCEND NHL 001): a multicentre seamless design study.,2020,true,true,true,2026-07-17
DLBC,,CD19,target,loncastuximab tesirine,PMID:37646659,Loncastuximab tesirine in relapsed/refractory diffuse large B-cell lymphoma: long-term efficacy and safety from the phase II LOTIS-2 study.,2024,true,true,true,2026-07-17
DLBC,,CD19,target,tafasitamab,PMID:32511983,"Tafasitamab plus lenalidomide in relapsed or refractory diffuse large B-cell lymphoma (L-MIND): a multicentre, prospective, single-arm, phase 2 study.",2020,true,true,true,2026-07-17
DLBC,,CD79B,target,polatuzumab vedotin,PMID:34904799,Polatuzumab Vedotin in Previously Untreated Diffuse Large B-Cell Lymphoma.,2022,true,true,true,2026-07-17
DLBC,,CD22,target,inotuzumab ozogamicin,PMID:25707288,"A phase 2 study of inotuzumab ozogamicin and rituximab, followed by autologous stem cell transplant in patients with relapsed/refractory diffuse large B-cell lymphoma.",2015,true,true,true,2026-07-17
DLBC,,MS4A1,target,glofitamab,PMID:39550172,"Glofitamab plus gemcitabine and oxaliplatin (GemOx) versus rituximab-GemOx for relapsed or refractory diffuse large B-cell lymphoma (STARGLO): a global phase 3, randomised, open-label trial.",2024,true,true,true,2026-07-17
DLBC,,MS4A1,target,epcoritamab,PMID:40663785,Real-world outcomes of patients with aggressive B-cell lymphoma treated with epcoritamab or glofitamab.,2025,true,true,true,2026-07-17
DLBC,,BCL2,target,venetoclax,PMID:39270702,"Atezolizumab, venetoclax, and obinutuzumab combination in Richter transformation diffuse large B-cell lymphoma (MOLTO): a multicentre, single-arm, phase 2 trial.",2024,true,true,true,2026-07-17
LAML,,CD33,biomarker,,PMID:22482940,"Effect of gemtuzumab ozogamicin on survival of adult patients with de-novo acute myeloid leukaemia (ALFA-0701): a randomised, open-label, phase 3 study.",2012,true,true,true,2026-07-17
LAML,,KIT,biomarker,,PMID:31899799,Prospective evaluation of prognostic impact of KIT mutations on acute myeloid leukemia with RUNX1-RUNX1T1 and CBFB-MYH11.,2020,true,true,true,2026-07-17
LAML,,FLT3,biomarker,,PMID:28644114,Midostaurin plus Chemotherapy for Acute Myeloid Leukemia with a FLT3 Mutation.,2017,true,true,true,2026-07-17
LAML,,NPM1,biomarker,,PMID:39901865,Biology and Management of Acute Myeloid Leukemia With Mutated NPM1.,2025,true,true,true,2026-07-17
LAML,,CEBPA,biomarker,,PMID:34448807,Prognostic impact of CEBPA bZIP domain mutation in acute myeloid leukemia.,2022,true,true,true,2026-07-17
LAML,,IDH1,biomarker,,PMID:29860938,Durable Remissions with Ivosidenib in IDH1-Mutated Relapsed or Refractory AML.,2018,true,true,true,2026-07-17
LAML,,IDH2,biomarker,,PMID:28588020,Enasidenib in mutant IDH2 relapsed or refractory acute myeloid leukemia.,2017,true,true,true,2026-07-17
LAML,,RUNX1,biomarker,,PMID:28179279,Role of RUNX1 in hematological malignancies.,2017,true,true,true,2026-07-17
LAML,,TP53,biomarker,,PMID:40459096,TP53-Mutated Acute Myeloid Leukemia: Unanswered Questions.,2025,true,true,true,2026-07-17
LAML,,DNMT3A,biomarker,,PMID:21067377,DNMT3A mutations in acute myeloid leukemia.,2010,true,true,true,2026-07-17
LAML,,KMT2A,biomarker,,PMID:40105906,"Therapeutic horizon of acute myeloid leukemia: Success, optimism, and challenges.",2025,true,true,true,2026-07-17
LAML,,MPO,biomarker,,PMID:35716019,Acute promyelocytic leukemia: Immunophenotype and differential diagnosis by flow cytometry.,2022,true,true,true,2026-07-17
LAML,,CD33,target,gemtuzumab ozogamicin,PMID:30076173,"Gemtuzumab ozogamicin for de novo acute myeloid leukemia: final efficacy and safety updates from the open-label, phase III ALFA-0701 trial.",2019,true,true,true,2026-07-17
LAML,,FLT3,target,midostaurin,PMID:28644114,Midostaurin plus Chemotherapy for Acute Myeloid Leukemia with a FLT3 Mutation.,2017,true,true,true,2026-07-17
LAML,,FLT3,target,gilteritinib,PMID:31665578,Gilteritinib or Chemotherapy for Relapsed or Refractory FLT3-Mutated AML.,2019,true,true,true,2026-07-17
LAML,,IDH1,target,ivosidenib,PMID:29860938,Durable Remissions with Ivosidenib in IDH1-Mutated Relapsed or Refractory AML.,2018,true,true,true,2026-07-17
LAML,,IDH2,target,enasidenib,PMID:28588020,Enasidenib in mutant IDH2 relapsed or refractory acute myeloid leukemia.,2017,true,true,true,2026-07-17
LAML,,BCL2,target,venetoclax,PMID:32786187,Azacitidine and Venetoclax in Previously Untreated Acute Myeloid Leukemia.,2020,true,true,true,2026-07-17
