cancer_code,apd1_orr_pct,drug,trial_name,trial_alias,trial_nct,setting,pmid_doi,confidence,notes,drug_target
SARC_SMARCA4,25.0,pembrolizumab,AcSe Pembrolizumab,UC-0105/1612,NCT03012620,SMARCA4/SMARCB1-deficient sarcoma,PMID:37429302,medium,ORR 25% (3/12); rhabdoid/SMARCA4-deficient immunogenic despite low TMB,PD-1
SARC_EPITH,16.7,pembrolizumab,AcSe Pembrolizumab,,NCT03012620,advanced epithelioid sarcoma,PMID:37429302,low,1/6 PR; small n; consistent with KEYNOTE-051 single PR,PD-1
SARC_DSRCT,12.5,pembrolizumab,AcSe Pembrolizumab,,NCT03012620,desmoplastic small round cell tumor,PMID:37429302,low,1/8 PR; otherwise immune-cold,PD-1
SARC_GIST,0.0,nivolumab,Alliance A091401,NCI-2015-00260,NCT02500797,advanced GIST,PMID:39343511,medium,0/9 nivo and 0/9 nivo+ipi; immune-cold; ICI inactive,PD-1
TGCT,0.0,pembrolizumab,Hoosier GU14-206,,NCT02499952,platinum-refractory germ cell,PMID:29045540,high,0/12; checkpoint monotherapy inactive in GCT,PD-1
SGC,4.6,pembrolizumab,KEYNOTE-158,MK-3475-158,NCT02628067,advanced salivary gland carcinoma (pan-salivary),PMID:35777186,low,pan-salivary ORR 4.6% (5/109); source-scope row for ACINIC/ADCC anti-PD-1 lookups,PD-1
DLBC,10.0,nivolumab,CheckMate 139,CA209-139,NCT02038933,relapsed/refractory DLBCL post-ASCT,PMID:30620669,medium,auto-HCT-failed ORR 10% (3/34); transplant-ineligible 3%; PMBCL exception (pembro ~41% KEYNOTE-170),PD-1
FL,4.0,nivolumab,CheckMate 140,,NCT02038946,relapsed/refractory follicular,DOI:10.1182/blood.2019004753,high,ORR 4% (4/92); checkpoint monotherapy largely inactive,PD-1
MDS,0.0,pembrolizumab,KEYNOTE-013,MK-3475-013,NCT01953692,post-HMA myelodysplastic syndrome,DOI:10.1080/10428194.2022.2034155,medium,No CR/PR by IWG criteria (0/28); marrow CR 19% (5/28); essentially inactive by ORR,PD-1
MM,0.0,pembrolizumab,KEYNOTE-013,MK-3475-013,NCT01953692,relapsed/refractory myeloma,PMID:30937889,high,0/27; monotherapy inactive; combos halted for excess mortality,PD-1
CLL,0.0,pembrolizumab,Mayo Clinic phase 2 pembrolizumab CLL/Richter trial,MC1485,NCT02332980,relapsed CLL,DOI:10.1182/blood-2017-02-765685,high,0/16 in CLL proper; Richter transformation responds (~44%) but is DLBCL-like,PD-1
MBL,0.0,nivolumab,CheckMate 908,CA209-908,NCT03130959,relapsed/refractory medulloblastoma,PMID:36808285,high,0/30 (nivo and nivo+ipi); immune-cold,PD-1
EPN,4.5,nivolumab +/- ipilimumab,CheckMate 908,CA209-908,NCT03130959,relapsed/refractory ependymoma pooled NIVO3 +/- IPI1 arms,PMID:36808285,low,"Pooled CheckMate 908 EPN ORR: 1/22 across NIVO3 (1/12 PR) and NIVO3+IPI1 (0/10) arms; near-zero/immune-cold",PD-1
DIPG,0.0,nivolumab,CheckMate 908,CA209-908,NCT03130959,diffuse midline glioma,PMID:36808285,high,0/45; no objective responses,PD-1
MENINGIOMA,0.0,pembrolizumab,pembrolizumab recurrent high-grade meningioma phase 2,,NCT03279692,recurrent high-grade meningioma,PMID:35289329,high,0/25 objective responses; PFS-6 48% but no PR/CR,PD-1
ACC,14.0,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,advanced adrenocortical,PMID:39067873,high,dual checkpoint ORR 14% (3/21); iORR 19%; no anti-PD-1 monotherapy ORR,PD-1+CTLA-4
NET_PANCREAS,11.0,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,advanced pancreatic NET,PMID:40588371,high,dual checkpoint ORR 11% (2/19); benefit in higher-grade; no anti-PD-1 monotherapy ORR,PD-1+CTLA-4
SARC_ANGIO,25.0,nivolumab+ipilimumab,DART/SWOG S1609,S1609 cohort 51,NCT02834013,metastatic/unresectable angiosarcoma,PMID:34380663,medium,dual checkpoint ORR 25% (4/16); cutaneous scalp/face 60% (3/5); no anti-PD-1 monotherapy ORR,PD-1+CTLA-4
ADCC,6.0,nivolumab+ipilimumab,phase 2 nivolumab plus ipilimumab salivary gland cancer trial,17-219,NCT03172624,adenoid cystic carcinoma,DOI:10.1038/s41591-023-02518-x,medium,dual checkpoint ORR 6% (2/32); pan-salivary pembro ~4.6%; checkpoint-resistant,PD-1+CTLA-4
NET_NONPANCREATIC,0.0,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,low/intermediate-grade nonpancreatic NET (pooled; not site-isolated),PMID:31969335,low,low/intermediate-grade NET 0/14 in DART nonpancreatic NET cohort; source-scope row for NET_LUNG/NET_MIDGUT/NET_RECTAL lookups,PD-1+CTLA-4
PMBCL,41.5,pembrolizumab,KEYNOTE-170,MK-3475-170,NCT02576990,relapsed/refractory primary mediastinal B-cell lymphoma,PMID:37130017,high,ORR 41.5% (22/53); CR 20.8%; 9p24.1/PD-L1 amplification; FDA-approved; the checkpoint-sensitive exception within DLBCL,PD-1
ATC,30.0,nivolumab+ipilimumab,nivolumab plus ipilimumab in aggressive thyroid cancer,,NCT03246958,anaplastic thyroid carcinoma,DOI:10.1200/JCO.2020.38.15_suppl.6513,low,dual checkpoint ORR 30% (3/10); abstract-level; lenvatinib+pembrolizumab ~52% (ATLEP combo; not monotherapy); no single-agent anti-PD-1 ORR,PD-1+CTLA-4
UCEC,15,pembrolizumab,KEYNOTE-158,MK-3475-158,NCT02628067,all-comers (response is MMR-dependent),PMID:39847999,medium,derived all-comer = 0.20*48 (dMMR) + 0.80*7 (pMMR) = 15.2%; advanced/recurrent EC dMMR prevalence ~20%,PD-1
