reference,title,citation_identity_status,source_url,used_by,reviewed_on
DOI:10.1080/10428194.2022.2034155,Pembrolizumab for myelodysplastic syndromes after failure of hypomethylating agents in the phase 1b KEYNOTE-013 study.,identifier_resolved_only,https://doi.org/10.1080/10428194.2022.2034155,baseline:cancer-apd1-response:MDS;baseline:cancer-ici-response-estimates:MDS;baseline:cancer-ici-response:MDS;current:cancer-apd1-response:MDS;current:cancer-ici-response-estimates:MDS;current:cancer-ici-response:MDS,2026-09-15
DOI:10.1158/1078-0432.CCR-19-3356,A Phase II Basket Trial of Dual Anti-CTLA-4 and Anti-PD-1 Blockade in Rare Tumors (DART SWOG 1609) in Patients with Nonpancreatic Neuroendocrine Tumors.,identifier_resolved_only,https://doi.org/10.1158/1078-0432.CCR-19-3356,baseline:cancer-ici-response-estimates:NEC_LUNG_LARGECELL;current:cancer-ici-response-estimates:NEC_LUNG_LARGECELL,2026-09-15
DOI:10.1158/1078-0432.CCR-20-4729,,identifier_unresolved,https://doi.org/10.1158/1078-0432.CCR-20-4729,baseline:cancer-ici-response-estimates:NEC_LUNG_LARGECELL,2026-09-15
DOI:10.1182/blood-2017-02-765685,Pembrolizumab in patients with CLL and Richter transformation or with relapsed CLL.,identifier_resolved_only,https://doi.org/10.1182/blood-2017-02-765685,baseline:cancer-apd1-response:CLL;baseline:cancer-ici-response-estimates:CLL;baseline:cancer-ici-response:CLL;current:cancer-apd1-response:CLL;current:cancer-ici-response-estimates:CLL;current:cancer-ici-response:CLL,2026-09-15
DOI:10.1182/blood.2019004753,"Efficacy and safety results from CheckMate 140, a phase 2 study of nivolumab for relapsed/refractory follicular lymphoma.",identifier_resolved_only,https://doi.org/10.1182/blood.2019004753,baseline:cancer-apd1-response:FL;baseline:cancer-ici-response-estimates:FL;baseline:cancer-ici-response:FL;current:cancer-apd1-response:FL;current:cancer-ici-response-estimates:FL;current:cancer-ici-response:FL,2026-09-15
DOI:10.1200/JCO.20.01605,"Five-Year Outcomes From the Randomized, Phase III Trials CheckMate 017 and 057: Nivolumab Versus Docetaxel in Previously Treated Non-Small-Cell Lung Cancer.",identifier_resolved_only,https://doi.org/10.1200/JCO.20.01605,baseline:cancer-ici-response-estimates:LUSC;current:cancer-ici-response-estimates:LUSC,2026-09-15
DOI:10.1200/JCO.2019.37.15_suppl.11015,Clinical activity of pembrolizumab in undifferentiated pleomorphic sarcoma and dedifferentiated/pleomorphic liposarcoma: Final results of SARC028 expansion cohorts.,publisher_identity_checked,https://ascopubs.org/doi/10.1200/JCO.2019.37.15_suppl.11015,baseline:cancer-apd1-response:SARC_DDLPS;baseline:cancer-apd1-response:SARC_UPS;baseline:cancer-ici-response-estimates:SARC_DDLPS;baseline:cancer-ici-response-estimates:SARC_UPS;baseline:cancer-ici-response:SARC_DDLPS;baseline:cancer-ici-response:SARC_UPS;current:cancer-apd1-response:SARC_DDLPS;current:cancer-apd1-response:SARC_UPS;current:cancer-ici-response-estimates:SARC_DDLPS;current:cancer-ici-response-estimates:SARC_UPS;current:cancer-ici-response:SARC_DDLPS;current:cancer-ici-response:SARC_UPS,2026-09-15
DOI:10.1200/JCO.2019.37.15_suppl.4569,KEYNOTE-427 cohort B: First-line pembrolizumab monotherapy for advanced non-clear cell renal cell carcinoma.,publisher_identity_checked,https://ascopubs.org/doi/10.1200/JCO.2019.37.15_suppl.4569,baseline:cancer-ici-response-estimates:RCC_NCC;baseline:cancer-ici-response-estimates:RCC_NCC_UNCLASSIFIED;current:cancer-ici-response-estimates:RCC_NCC;current:cancer-ici-response-estimates:RCC_NCC_UNCLASSIFIED,2026-09-15
DOI:10.1200/JCO.2020.38.15_suppl.6513,A phase II study of nivolumab plus ipilimumab in radioiodine refractory differentiated thyroid cancer with exploratory ATC and MTC cohorts.,publisher_identity_checked,https://ascopubs.org/doi/10.1200/JCO.2020.38.15_suppl.6513,baseline:cancer-apd1-response:ATC;baseline:cancer-ici-response-estimates:ATC;baseline:cancer-ici-response:ATC;current:cancer-apd1-response:ATC;current:cancer-ici-response-estimates:ATC;current:cancer-ici-response:ATC,2026-09-15
DOI:10.1200/PO.23.00406,Phase II Study of Erdafitinib in Patients With Tumors With <i>FGFR</i> Amplifications: Results From the NCI-MATCH ECOG-ACRIN Trial (EAY131) Subprotocol K1.,identifier_resolved_only,https://doi.org/10.1200/PO.23.00406,baseline:cancer-tmb:PENSCC,2026-09-15
DOI:10.21037/atm.2019.09.49,Definitive radiation for early stage lung cancer: who is medically inoperable?,identifier_resolved_only,https://doi.org/10.21037/atm.2019.09.49,baseline:cancer-tmb:UVM,2026-09-15
DOI:10.3390/cancers12082307,Phase II Clinical Trial of Pembrolizumab in Patients with Progressive Metastatic Pheochromocytomas and Paragangliomas.,identifier_resolved_only,https://doi.org/10.3390/cancers12082307,baseline:cancer-apd1-response:PCPG;baseline:cancer-ici-response-estimates:PCPG;baseline:cancer-ici-response:PCPG;current:cancer-apd1-response:PCPG;current:cancer-ici-response-estimates:PCPG;current:cancer-ici-response:PCPG,2026-09-15
DOI:10.3390/cancers18050737,Tumor Mutational Burden as a Prognostic Biomarker in Follicular Lymphoma.,identifier_resolved_only,https://doi.org/10.3390/cancers18050737,baseline:cancer-tmb:FL;current:cancer-tmb:FL,2026-09-15
NCT02054806,,trial_registry_not_revalidated,https://clinicaltrials.gov/study/NCT02054806,,2026-09-15
PMID:22072557,The BRAF V600E mutation in hairy cell leukemia and other mature B-cell neoplasms.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/22072557/,baseline:cancer-tmb:HCL;current:cancer-tmb:HCL,2026-09-15
PMID:23000897,Comprehensive molecular portraits of human breast tumours.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/23000897/,baseline:cancer-tmb:BRCA_Basal;baseline:cancer-tmb:BRCA_HER2;baseline:cancer-tmb:BRCA_LumA;baseline:cancer-tmb:BRCA_LumB;baseline:cancer-tmb:BRCA_Normal;current:cancer-tmb:BRCA_Basal;current:cancer-tmb:BRCA_HER2;current:cancer-tmb:BRCA_LumA;current:cancer-tmb:BRCA_LumB;current:cancer-tmb:BRCA_Normal,2026-09-15
PMID:23143597,The genetic landscape of mutations in Burkitt lymphoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/23143597/,baseline:cancer-tmb:BL;current:cancer-tmb:BL,2026-09-15
PMID:23290440,Emerging importance of mutational analysis in myelodysplastic syndrome and acute myelogenous leukemia.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/23290440/,baseline:cancer-tmb:MDS,2026-09-15
PMID:23636398,Integrated genomic characterization of endometrial carcinoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/23636398/,baseline:cancer-tmb:UCEC_CNH;baseline:cancer-tmb:UCEC_CNL;baseline:cancer-tmb:UCEC_MSI;baseline:cancer-tmb:UCEC_POLE;current:cancer-tmb:UCEC_CNH;current:cancer-tmb:UCEC_CNL,2026-09-15
PMID:23685749,The mutational landscape of adenoid cystic carcinoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/23685749/,baseline:cancer-tmb:ADCC,2026-09-15
PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/23770567/,baseline:cancer-tmb:BLCA;baseline:cancer-tmb:BRCA;baseline:cancer-tmb:CESC;baseline:cancer-tmb:CLL;baseline:cancer-tmb:COAD;baseline:cancer-tmb:DLBC;baseline:cancer-tmb:ESCA;baseline:cancer-tmb:GBM;baseline:cancer-tmb:HNSC;baseline:cancer-tmb:KIRC;baseline:cancer-tmb:LAML;baseline:cancer-tmb:LGG;baseline:cancer-tmb:LUAD;baseline:cancer-tmb:LUSC;baseline:cancer-tmb:MBL;baseline:cancer-tmb:MM;baseline:cancer-tmb:OV;baseline:cancer-tmb:PRAD;baseline:cancer-tmb:READ;baseline:cancer-tmb:RT;baseline:cancer-tmb:SKCM;baseline:cancer-tmb:UCEC;current:cancer-tmb:BLCA;current:cancer-tmb:BRCA;current:cancer-tmb:CESC;current:cancer-tmb:CLL;current:cancer-tmb:COAD;current:cancer-tmb:DLBC;current:cancer-tmb:ESCA;current:cancer-tmb:GBM;current:cancer-tmb:HNSC;current:cancer-tmb:KIRC;current:cancer-tmb:LAML;current:cancer-tmb:LGG;current:cancer-tmb:LUAD;current:cancer-tmb:LUSC;current:cancer-tmb:MBL;current:cancer-tmb:MM;current:cancer-tmb:OV;current:cancer-tmb:PRAD;current:cancer-tmb:READ;current:cancer-tmb:RT;current:cancer-tmb:SKCM;current:cancer-tmb:UCEC,2026-09-15
PMID:23770587,Activity-dependent phosphorylation of MeCP2 threonine 308 regulates interaction with NCoR.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/23770587/,baseline:cancer-tmb:MCL,2026-09-15
PMID:24413733,Exome sequencing identifies BRAF mutations in papillary craniopharyngiomas.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/24413733/,baseline:cancer-tmb:CRANIO;current:cancer-tmb:CRANIO,2026-09-15
PMID:24670920,Frequent mutations in chromatin-remodelling genes in pulmonary carcinoids.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/24670920/,baseline:cancer-tmb:NET_LUNG;current:cancer-tmb:NET_LUNG,2026-09-15
PMID:24927297,One-step synthesis of unsymmetrical N-alkyl-N'-aryl perylene diimides.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/24927297/,baseline:cancer-tmb:cSCC,2026-09-15
PMID:25079317,Comprehensive molecular characterization of gastric adenocarcinoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/25079317/,baseline:cancer-tmb:STAD_MSI;current:cancer-tmb:STAD_MSI,2026-09-15
PMID:25631445,Comprehensive genomic characterization of head and neck squamous cell carcinomas.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/25631445/,baseline:cancer-tmb:HNSC_HPVneg;baseline:cancer-tmb:HNSC_HPVpos;current:cancer-tmb:HNSC_HPVneg;current:cancer-tmb:HNSC_HPVpos,2026-09-15
PMID:25891173,Pembrolizumab versus Ipilimumab in Advanced Melanoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/25891173/,baseline:cancer-ici-response-estimates:SKCM;current:cancer-ici-response-estimates:SKCM,2026-09-15
PMID:26027431,Combined Nivolumab and Ipilimumab or Monotherapy in Untreated Melanoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/26027431/,baseline:cancer-ici-response-estimates:SKCM;baseline:cancer-ici-response:SKCM;current:cancer-ici-response-estimates:SKCM;current:cancer-ici-response:SKCM,2026-09-15
PMID:26028255,PD-1 Blockade in Tumors with Mismatch-Repair Deficiency.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/26028255/,baseline:cancer-apd1-response:COAD_MSS;baseline:cancer-apd1-response:READ_MSS;baseline:cancer-ici-response-estimates:COAD_MSS;baseline:cancer-ici-response-estimates:CRC_MSI;baseline:cancer-ici-response-estimates:READ_MSS;baseline:cancer-ici-response:COAD_MSS;baseline:cancer-ici-response:READ_MSS;current:cancer-apd1-response:COAD_MSS;current:cancer-apd1-response:READ_MSS;current:cancer-ici-response-estimates:COAD_MSS;current:cancer-ici-response-estimates:CRC_MSI;current:cancer-ici-response-estimates:READ_MSS;current:cancer-ici-response:COAD_MSS;current:cancer-ici-response:READ_MSS,2026-09-15
PMID:26028407,Nivolumab versus Docetaxel in Advanced Squamous-Cell Non-Small-Cell Lung Cancer.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/26028407/,baseline:cancer-apd1-response:LUSC;baseline:cancer-ici-response-estimates:LUSC;baseline:cancer-ici-response:LUSC;current:cancer-apd1-response:LUSC;current:cancer-ici-response-estimates:LUSC;current:cancer-ici-response:LUSC,2026-09-15
PMID:26168399,Comprehensive genomic profiles of small cell lung cancer.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/26168399/,baseline:cancer-tmb:NEC_LUNG;baseline:cancer-tmb:SCLC;current:cancer-tmb:NEC_LUNG;current:cancer-tmb:SCLC,2026-09-15
PMID:26406148,Nivolumab versus Everolimus in Advanced Renal-Cell Carcinoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/26406148/,baseline:cancer-apd1-response:KIRC;baseline:cancer-ici-response-estimates:KIRC;baseline:cancer-ici-response:KIRC;current:cancer-apd1-response:KIRC;current:cancer-ici-response-estimates:KIRC;current:cancer-ici-response:KIRC,2026-09-15
PMID:26412456,Nivolumab versus Docetaxel in Advanced Nonsquamous Non-Small-Cell Lung Cancer.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/26412456/,baseline:cancer-apd1-response:LUAD;baseline:cancer-ici-response-estimates:LUAD;baseline:cancer-ici-response:LUAD;current:cancer-apd1-response:LUAD;current:cancer-ici-response-estimates:LUAD;current:cancer-ici-response:LUAD,2026-09-15
PMID:26952546,"Atezolizumab in patients with locally advanced and metastatic urothelial carcinoma who have progressed following treatment with platinum-based chemotherapy: a single-arm, multicentre, phase 2 trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/26952546/,baseline:cancer-ici-response-estimates:BLCA;current:cancer-ici-response-estimates:BLCA,2026-09-15
PMID:27158114,Structures of the Zika Virus Envelope Protein and Its Complex with a Flavivirus Broadly Protective Antibody.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/27158114/,baseline:cancer-tmb:BCC,2026-09-15
PMID:27159395,Immune activation and response to pembrolizumab in POLE-mutant endometrial cancer.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/27159395/,baseline:cancer-apd1-response:UCEC_POLE;baseline:cancer-ici-response-estimates:UCEC_POLE;baseline:cancer-ici-response:UCEC_POLE;current:cancer-apd1-response:UCEC_POLE;current:cancer-ici-response-estimates:UCEC_POLE;current:cancer-ici-response:UCEC_POLE,2026-09-15
PMID:27269741,"Nivolumab alone and nivolumab plus ipilimumab in recurrent small-cell lung cancer (CheckMate 032): a multicentre, open-label, phase 1/2 trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/27269741/,baseline:cancer-apd1-response:SCLC;baseline:cancer-ici-response-estimates:SCLC;baseline:cancer-ici-response:SCLC;current:cancer-apd1-response:SCLC;current:cancer-ici-response-estimates:SCLC;current:cancer-ici-response:SCLC,2026-09-15
PMID:27533448,Clinical outcomes in metastatic uveal melanoma treated with PD-1 and PD-L1 antibodies.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/27533448/,baseline:cancer-apd1-response:UVM;baseline:cancer-ici-response-estimates:UVM;baseline:cancer-ici-response:UVM;current:cancer-apd1-response:UVM;current:cancer-ici-response-estimates:UVM;current:cancer-ici-response:UVM,2026-09-15
PMID:27592805,"Avelumab in patients with chemotherapy-refractory metastatic Merkel cell carcinoma: a multicentre, single-group, open-label, phase 2 trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/27592805/,baseline:cancer-ici-response-estimates:NEC_MERKEL;baseline:cancer-ici-response:NEC_MERKEL;current:cancer-ici-response-estimates:NEC_MERKEL;current:cancer-ici-response:NEC_MERKEL,2026-09-15
PMID:27646946,Antitumor Activity of Pembrolizumab in Biomarker-Unselected Patients With Recurrent and/or Metastatic Head and Neck Squamous Cell Carcinoma: Results From the Phase Ib KEYNOTE-012 Expansion Cohort.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/27646946/,baseline:cancer-ici-response-estimates:HNSC_HPVneg;baseline:cancer-ici-response-estimates:HNSC_HPVpos;current:cancer-ici-response-estimates:HNSC_HPVneg;current:cancer-ici-response-estimates:HNSC_HPVpos,2026-09-15
PMID:27718847,Pembrolizumab versus Chemotherapy for PD-L1-Positive Non-Small-Cell Lung Cancer.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/27718847/,baseline:cancer-ici-response-estimates:LUAD;baseline:cancer-ici-response-estimates:LUSC;current:cancer-ici-response-estimates:LUAD;current:cancer-ici-response-estimates:LUSC,2026-09-15
PMID:27939400,"Atezolizumab as first-line treatment in cisplatin-ineligible patients with locally advanced and metastatic urothelial carcinoma: a single-arm, multicentre, phase 2 trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/27939400/,baseline:cancer-ici-response-estimates:BLCA;baseline:cancer-ici-response:BLCA;current:cancer-ici-response-estimates:BLCA;current:cancer-ici-response:BLCA,2026-09-15
PMID:27979383,"Atezolizumab versus docetaxel in patients with previously treated non-small-cell lung cancer (OAK): a phase 3, open-label, multicentre randomised controlled trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/27979383/,baseline:cancer-ici-response-estimates:LUAD;current:cancer-ici-response-estimates:LUAD,2026-09-15
PMID:28131785,"Nivolumab in metastatic urothelial carcinoma after platinum therapy (CheckMate 275): a multicentre, single-arm, phase 2 trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28131785/,baseline:cancer-ici-response-estimates:BLCA;current:cancer-ici-response-estimates:BLCA,2026-09-15
PMID:28223062,"Nivolumab for previously treated unresectable metastatic anal cancer (NCI9673): a multicentre, single-arm, phase 2 study.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28223062/,baseline:cancer-apd1-response:ANSC;baseline:cancer-ici-response-estimates:ANSC;baseline:cancer-ici-response:ANSC;current:cancer-apd1-response:ANSC;current:cancer-ici-response-estimates:ANSC;current:cancer-ici-response:ANSC,2026-09-15
PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28420421/,baseline:cancer-tmb:ACC;baseline:cancer-tmb:CHOL;baseline:cancer-tmb:CRC_MSI;baseline:cancer-tmb:KICH;baseline:cancer-tmb:KIRP;baseline:cancer-tmb:LIHC;baseline:cancer-tmb:MESO;baseline:cancer-tmb:PAAD;baseline:cancer-tmb:PCPG;baseline:cancer-tmb:SARC_MPNST;baseline:cancer-tmb:STAD;baseline:cancer-tmb:STAD_MSI;baseline:cancer-tmb:TGCT;baseline:cancer-tmb:THCA;baseline:cancer-tmb:THYM;baseline:cancer-tmb:THYMCA;baseline:cancer-tmb:UCS;current:cancer-tmb:ACC;current:cancer-tmb:ACINIC;current:cancer-tmb:ADCC;current:cancer-tmb:ANSC;current:cancer-tmb:BCC;current:cancer-tmb:CHOL;current:cancer-tmb:CRC_MSI;current:cancer-tmb:KICH;current:cancer-tmb:KIRP;current:cancer-tmb:LIHC;current:cancer-tmb:MCL;current:cancer-tmb:MDS;current:cancer-tmb:MESO;current:cancer-tmb:MPN;current:cancer-tmb:MTC;current:cancer-tmb:NEC_LUNG_LARGECELL;current:cancer-tmb:PAAD;current:cancer-tmb:PCPG;current:cancer-tmb:PENSCC;current:cancer-tmb:SARC_CHON;current:cancer-tmb:SARC_MPNST;current:cancer-tmb:STAD;current:cancer-tmb:STAD_MSI;current:cancer-tmb:TGCT;current:cancer-tmb:THCA;current:cancer-tmb:THYM;current:cancer-tmb:THYMCA;current:cancer-tmb:UCS;current:cancer-tmb:VSCC;current:cancer-tmb:cSCC,2026-09-15
PMID:28434648,"Nivolumab in patients with advanced hepatocellular carcinoma (CheckMate 040): an open-label, non-comparative, phase 1/2 dose escalation and expansion trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28434648/,baseline:cancer-apd1-response:LIHC;baseline:cancer-ici-response-estimates:LIHC;baseline:cancer-ici-response:LIHC;current:cancer-apd1-response:LIHC;current:cancer-ici-response-estimates:LIHC;current:cancer-ici-response:LIHC,2026-09-15
PMID:28441111,Phase II Study of the Efficacy and Safety of Pembrolizumab for Relapsed/Refractory Classic Hodgkin Lymphoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28441111/,baseline:cancer-ici-response-estimates:HL;current:cancer-ici-response-estimates:HL,2026-09-15
PMID:28726821,The whole-genome landscape of medulloblastoma subtypes.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28726821/,baseline:cancer-tmb:MBL_G3;baseline:cancer-tmb:MBL_G4;baseline:cancer-tmb:MBL_SHH;baseline:cancer-tmb:MBL_WNT;current:cancer-tmb:MBL_G3;current:cancer-tmb:MBL_G4;current:cancer-tmb:MBL_SHH;current:cancer-tmb:MBL_WNT,2026-09-15
PMID:28817753,Efficacy and Safety of Durvalumab in Locally Advanced or Metastatic Urothelial Carcinoma: Updated Results From a Phase 1/2 Open-label Study.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28817753/,baseline:cancer-ici-response-estimates:BLCA;current:cancer-ici-response-estimates:BLCA,2026-09-15
PMID:28837405,Safety and Antitumor Activity of Pembrolizumab in Patients With Programmed Death-Ligand 1-Positive Nasopharyngeal Carcinoma: Results of the KEYNOTE-028 Study.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28837405/,baseline:cancer-apd1-response:NPC;baseline:cancer-ici-response-estimates:NPC;baseline:cancer-ici-response:NPC;current:cancer-apd1-response:NPC;current:cancer-ici-response-estimates:NPC;current:cancer-ici-response:NPC,2026-09-15
PMID:28889792,Overall Survival with Combined Nivolumab and Ipilimumab in Advanced Melanoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28889792/,baseline:cancer-apd1-response:SKCM;baseline:cancer-ici-response-estimates:SKCM;baseline:cancer-ici-response:SKCM;current:cancer-apd1-response:SKCM;current:cancer-ici-response-estimates:SKCM;current:cancer-ici-response:SKCM,2026-09-15
PMID:28961851,Comprehensive genomic profiles of metastatic and relapsed salivary gland carcinomas are associated with tumor type and reveal new routes to targeted therapies.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28961851/,baseline:cancer-tmb:ACINIC,2026-09-15
PMID:28966033,"Integrated Molecular Meta-Analysis of 1,000 Pediatric High-Grade and Diffuse Intrinsic Pontine Glioma.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28966033/,baseline:cancer-tmb:DIPG;current:cancer-tmb:DIPG,2026-09-15
