gene_id,symbol
ENSG00000196862,RGPD4
ENSG00000197416,FABP12
ENSG00000198021,SPANXA1
ENSG00000198573,SPANXC
ENSG00000198681,MAGEA1
ENSG00000198759,EGFL6
ENSG00000198765,SYCP1
ENSG00000198798,MAGEB3
ENSG00000198870,STKLD1
ENSG00000203907,OOEP
ENSG00000203909,DPPA5
ENSG00000203926,SPANXA2
ENSG00000204279,PAGE3
ENSG00000204414,CSHL1
ENSG00000204450,TRIM64
ENSG00000204941,PSG5
ENSG00000204962,PCDHA8
ENSG00000204965,PCDHA5
ENSG00000204967,PCDHA4
ENSG00000205359,SLCO6A1
ENSG00000205642,VCX3B
ENSG00000205777,GAGE1
ENSG00000212710,CTAGE1
ENSG00000213030,CGB8
ENSG00000213218,CSH2
ENSG00000214107,MAGEB1
ENSG00000215186,GOLGA6B
ENSG00000215269,GAGE12G
ENSG00000215529,EFCAB8
ENSG00000215817,ZC3H11B
ENSG00000216649,GAGE12E
ENSG00000221826,PSG3
ENSG00000223510,CDRT15
ENSG00000224659,GAGE12J
ENSG00000224902,GAGE12H
ENSG00000226023,CT47A6
ENSG00000226650,KIF4B
ENSG00000226685,CT47A12
ENSG00000226929,CT47A11
ENSG00000227234,SPANXB1
ENSG00000228517,CT47A7
ENSG00000228927,TSPY3
ENSG00000229549,TSPY8
ENSG00000230594,CT47A4
ENSG00000231924,PSG1
ENSG00000233803,TSPY4
ENSG00000234068,PAGE2
ENSG00000234414,RBMY1A1
ENSG00000236126,CT47A3
ENSG00000236362,GAGE12F
ENSG00000236371,CT47A1
ENSG00000236424,TSPY10
ENSG00000236446,CT47B1
ENSG00000236761,CTAGE9
ENSG00000237353,PATE4
ENSG00000237671,GAGE12C
ENSG00000237957,CT47A5
ENSG00000238074,TSPY9
ENSG00000238269,PAGE2B
ENSG00000240021,TEX35
ENSG00000241476,SSX2
ENSG00000242362,CT47A2
ENSG00000242389,RBMY1E
ENSG00000242875,RBMY1B
ENSG00000243130,PSG11
ENSG00000244395,RBMY1D
ENSG00000244588,RAD21L1
ENSG00000250741,NT5C1B-RDH14
ENSG00000251258,RFPL4B
ENSG00000258992,TSPY1
ENSG00000268009,SSX4
ENSG00000268447,SSX2B
ENSG00000268629,TEX13A
ENSG00000268651,CTAG1A
ENSG00000268940,CT45A1
ENSG00000269058,CALR3
ENSG00000269096,CT45A3
ENSG00000269586,CT45A10
ENSG00000271321,CTAGE6
ENSG00000271449,CT45A2
ENSG00000273696,CT45A7
ENSG00000274274,GAGE13
ENSG00000274391,TPTE
ENSG00000275113,GAGE2E
ENSG00000275793,RIMBP3
ENSG00000276430,FAM25C
ENSG00000277322,GOLGA6L6
ENSG00000279804,PRAMEF18
